tx_id	gene_name	undepleted_1	undepleted_2	ribozero_p	ribozero_p_o	ribozero_p_f	ribozero_p_of	qiagen_fastselect_1	qiagen_fastselect_2	ribopools_1	ribopools_2	ribopools_no_heat_1	ribopools_no_heat_2
ENST00000359644.7	ATP2C1	54	54	78	6	15	0	114	127	83	128	286	274
ENST00000309958.7	KLK10	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000328449.5	C1QTNF8	0	0	0	0	0	0	0	0	0	1	0	0
ENST00000396355.5	NDE1	30	32	49	2	0	0	61	77	52	77	132	129
ENST00000334897.4	KRTAP6-2	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000374987.3	APEX2	33	47	44	21	6	12	69	106	82	115	209	212
ENST00000241305.3	CPXM2	0	1	0	0	0	0	0	0	0	0	0	0
ENST00000357495.3	HNRNPA1L2	990	829	1458	166	60	86	2184	2430	1900	2407	4772	4744
ENST00000360608.9	CYP2D6	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000328434.7	COA3	30	33	65	0	0	4	75	80	66	90	170	185
ENST00000225983.10	HDAC5	23	21	27	0	7	0	53	57	45	71	117	121
ENST00000538771.5	PAFAH1B3	80	70	115	10	1	3	148	204	144	183	374	349
ENST00000313552.10	ING5	14	18	46	6	0	0	38	46	37	50	79	98
ENST00000261037.7	COL8A1	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000361320.4	LRRTM3	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000296388.9	P3H1	90	115	169	6	5	30	238	258	207	244	506	502
ENST00000285930.8	AKR1B1	0	0	0	0	0	0	2	0	2	1	4	1
ENST00000359798.8	ZNF808	25	22	28	0	3	0	40	53	40	44	114	101
ENST00000261296.6	TGDS	23	22	62	0	1	7	53	64	59	56	127	144
ENST00000299481.4	NLRP14	0	2	0	4	0	0	0	2	1	3	1	0
ENST00000240306.4	DLX4	0	0	0	0	0	0	1	1	1	1	1	1
ENST00000250693.1	ART1	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000367287.4	TIMM17A	218	219	397	24	44	31	547	619	522	647	1191	1221
ENST00000399298.7	TMEM26	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000324894.12	GTPBP3	71	36	75	9	6	6	114	155	122	135	287	315
ENST00000621654.1	EPOP	5	7	1	0	3	0	8	5	7	6	19	25
ENST00000395224.6	TBX6	0	0	1	0	0	0	0	1	0	1	1	0
ENST00000641804.1	OR2G6	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000542554.5	PRRG1	1	4	3	0	0	5	12	5	8	7	15	15
ENST00000305366.7	TM4SF1	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000253496.3	F12	16	17	2	0	0	0	18	33	19	29	52	52
ENST00000287842.7	NRG1	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000328444.5	RNASE10	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000431067.2	ORM2	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000371901.3	CYP4X1	0	0	0	0	0	0	1	0	0	0	0	0
ENST00000564831.5	APOBR	10	16	43	0	11	10	20	22	20	33	63	79
ENST00000598475.1	SPANXN2	0	0	0	0	0	0	1	0	0	1	0	0
ENST00000323534.4	RAP2B	30	30	54	0	8	15	75	79	66	86	137	143
ENST00000485511.5	PPP2R5D	92	76	118	10	19	26	203	211	180	212	405	400
ENST00000601181.5	CXCL17	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000299957.10	CASC4	18	12	19	0	0	1	38	30	32	42	69	90
ENST00000256441.4	MRPS36	85	78	117	23	22	43	185	229	195	220	461	496
ENST00000274565.4	SPINK7	0	0	0	0	0	0	0	0	0	1	0	0
ENST00000394232.5	SV2B	0	0	0	0	0	0	1	1	0	1	0	0
ENST00000576409.5	ATPAF1	32	30	24	10	5	7	78	86	66	97	142	179
ENST00000543796.5	RAN	1873	1698	2966	218	182	227	4136	4612	3595	4526	9025	9092
ENST00000472726.2	AL139300.1	40	48	90	2	1	3	85	105	82	115	162	199
ENST00000428879.5	MMADHC	504	475	837	74	31	77	1132	1359	966	1273	2728	2655
ENST00000309731.11	GRAMD2A	0	0	0	0	0	0	1	2	3	1	3	3
ENST00000351072.5	XAGE5	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000396825.3	FITM2	7	3	10	0	0	3	15	22	8	12	32	24
ENST00000316219.9	LILRB5	0	0	0	0	0	0	1	0	0	1	0	0
ENST00000224337.9	BLNK	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000493964.5	CFAP74	0	0	0	0	0	0	3	1	1	2	0	0
ENST00000627148.2	CGA	0	0	0	0	0	0	0	0	0	0	0	1
ENST00000531433.5	SLC24A4	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000402988.5	IGSF23	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000285420.8	OTUD6B	47	36	96	11	0	3	98	127	110	122	236	245
ENST00000397532.7	SLC7A7	0	1	0	0	0	0	0	1	0	0	1	3
ENST00000474629.6	PARP14	26	24	60	10	0	12	60	77	43	76	130	157
ENST00000313049.9	PTH1R	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000396056.6	ZNF35	17	9	19	0	0	7	24	46	32	35	66	68
ENST00000367941.6	STX7	12	32	48	3	6	9	54	61	55	60	150	132
ENST00000487903.5	ATP11A	19	15	22	10	0	0	32	42	24	58	80	75
ENST00000609686.3	GRIN2B	0	0	0	0	0	0	0	2	0	0	0	2
ENST00000611864.4	MGAT4C	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000265471.9	B3GAT3	35	32	63	0	0	2	63	92	80	74	187	171
ENST00000371325.1	FAM209B	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000543824.5	PHC1	13	10	13	0	0	0	21	20	16	27	49	65
ENST00000458235.5	JAK3	0	0	0	0	0	0	1	0	0	0	1	1
ENST00000306238.3	SCGB1D1	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000264156.2	MCM6	418	424	684	58	26	41	973	1095	801	1046	2029	2057
ENST00000266643.5	MARCH9	1	1	0	0	0	1	2	5	6	2	4	10
ENST00000258770.7	TBRG4	190	193	353	34	19	26	454	528	422	538	978	1047
ENST00000308796.10	MUCL1	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000247001.9	SUGP1	59	56	58	0	3	14	102	149	129	151	227	273
ENST00000212015.10	SIRT1	54	30	122	7	1	3	99	117	94	142	239	264
ENST00000248701.8	SPINK2	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000319420.3	SHISA2	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000382745.8	CLCN7	97	107	187	20	7	11	244	289	230	294	576	614
ENST00000326397.9	RWDD4	9	16	34	0	0	0	37	52	38	49	89	97
ENST00000262352.7	SLC1A1	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000524377.5	NTRK1	89	75	194	20	7	10	186	226	161	202	421	423
ENST00000255559.7	SLC39A11	22	12	32	8	0	0	27	29	32	43	99	94
ENST00000221980.4	ICAM5	22	19	32	8	0	1	58	68	56	66	139	123
ENST00000361548.8	GRHL3	0	0	0	0	0	0	0	1	0	0	0	0
ENST00000254108.11	FUS	1168	1030	1901	165	240	231	2403	2795	2272	2900	5482	5578
ENST00000353704.2	CREB3	9	4	19	0	0	0	13	21	19	30	49	53
ENST00000444614.7	CCDC122	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000358536.8	PLXNB1	6	5	11	0	3	0	13	22	15	10	40	51
ENST00000380701.7	CCDC171	0	0	0	0	0	7	2	3	3	1	4	1
ENST00000263897.9	USE1	30	27	57	1	0	6	57	69	47	72	124	138
ENST00000360844.6	SIGLEC14	0	0	0	0	0	0	1	0	0	2	1	1
ENST00000321331.11	HIGD1A	170	162	280	25	8	22	388	430	378	467	888	920
ENST00000265379.10	COL6A5	33	21	37	0	1	0	60	68	35	59	139	138
ENST00000329992.12	ATAT1	4	2	4	4	4	0	6	11	8	5	11	12
ENST00000291890.8	NCR1	1	1	3	0	0	7	8	17	6	15	15	27
ENST00000456397.6	TM2D2	22	30	33	6	1	13	60	72	48	79	157	148
ENST00000353487.6	SPPL3	29	20	47	3	5	1	46	74	45	62	104	132
ENST00000337080.7	ZNF444	26	37	24	0	0	3	59	70	55	82	150	140
ENST00000405260.5	PASK	20	24	40	10	0	5	46	63	42	42	106	120
ENST00000319595.5	HTR1F	3	1	0	0	0	0	5	4	3	7	6	10
ENST00000286574.8	WIF1	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000372263.3	PLAC9	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000340344.4	NDUFV3	62	48	150	8	25	12	130	138	125	189	305	308
ENST00000409466.6	C2orf76	10	9	12	11	0	0	15	13	21	19	28	37
ENST00000322583.4	PRR18	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000398718.1	DEFB113	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000251108.10	CDADC1	4	1	0	7	0	0	10	11	3	8	14	21
ENST00000331264.7	GLTPD2	0	0	0	0	0	0	0	0	0	0	0	1
ENST00000564146.3	MKRN2OS	0	0	0	0	0	0	0	0	0	0	0	1
ENST00000329410.3	C16orf54	0	0	0	0	0	0	1	0	0	0	0	0
ENST00000373993.5	A1CF	1	1	0	0	0	0	0	3	5	0	1	2
ENST00000324472.8	DPY19L2	4	0	0	0	0	0	4	4	3	3	7	6
ENST00000399218.8	GAREM1	0	0	0	0	0	0	0	0	0	2	0	0
ENST00000404774.7	MMD2	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000367875.1	POGK	31	29	47	15	0	5	70	68	55	75	156	163
ENST00000326925.10	NDUFAF3	33	28	83	9	0	7	62	64	56	84	166	167
ENST00000373830.4	TRNAU1AP	72	58	91	0	10	13	134	172	126	170	286	325
ENST00000171887.8	TNS1	1	1	0	0	0	0	9	10	2	6	8	13
ENST00000379011.4	C11orf91	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000393114.7	C7orf49	30	12	31	0	3	9	53	63	47	58	119	137
ENST00000367330.5	TMEM9	69	66	150	10	14	3	157	190	127	159	336	359
ENST00000330062.7	IDH2	86	108	219	18	14	12	201	246	199	200	456	498
ENST00000388833.7	TSNAXIP1	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000357122.8	SPAG9	162	128	323	22	26	18	338	372	310	402	786	729
ENST00000543341.6	GTF2H3	80	96	153	10	0	21	200	230	175	246	465	502
ENST00000228284.7	SART3	94	99	198	15	6	13	237	215	169	243	453	483
ENST00000560778.2	CTXND1	0	0	0	0	0	0	1	0	0	0	0	0
ENST00000400120.3	ZNF705B	0	0	0	0	0	0	1	0	0	1	0	0
ENST00000307365.3	DDIT4	28	15	53	12	0	6	47	70	48	60	129	118
ENST00000397163.7	CAPN3	0	0	0	0	0	0	0	2	0	2	0	0
ENST00000361544.10	CDC14A	32	36	32	6	6	0	87	87	85	113	147	161
ENST00000640559.1	AC009122.1	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000370398.5	KCNQ5	5	4	5	0	0	0	10	6	11	9	14	20
ENST00000279907.11	UHRF1BP1L	22	22	14	0	0	1	38	54	36	47	91	83
ENST00000223129.8	RPA3	124	133	194	13	8	12	293	344	260	341	728	692
ENST00000376221.1	AADACL4	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000424061.6	SLC6A12	0	0	0	0	0	0	0	1	2	0	0	1
ENST00000530349.1	FAM89B	3	3	10	0	0	0	8	14	12	13	16	27
ENST00000376770.5	FBXO44	12	8	9	0	0	0	17	23	20	24	43	41
ENST00000369484.7	CMC4	2	3	0	0	0	0	5	6	10	6	11	17
ENST00000258229.13	PCNX2	1	1	5	0	0	0	3	4	2	2	3	6
ENST00000251089.6	ANGEL1	23	18	13	5	5	2	47	41	36	47	108	102
ENST00000430069.5	TBL1XR1	111	85	290	24	13	15	221	294	198	286	502	576
ENST00000397861.6	C17orf67	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000639579.1	ATG9B	1	1	0	0	0	0	3	1	2	1	5	4
ENST00000244513.10	BTN1A1	0	0	0	0	0	0	0	1	1	0	1	1
ENST00000425673.5	PLEKHG2	23	18	9	0	1	0	40	55	30	37	80	79
ENST00000335479.2	DEFB106B	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000478399.5	ADPRH	1	1	0	0	0	0	0	5	4	5	10	9
ENST00000370025.8	PRPF38B	48	71	82	9	6	15	119	128	99	135	258	242
ENST00000219302.7	NME3	13	16	28	0	0	0	36	39	35	41	84	85
ENST00000305596.7	CD2BP2	65	64	124	14	0	2	112	135	97	165	282	315
ENST00000538312.5	FAM46D	0	0	0	0	0	0	1	1	0	0	1	0
ENST00000207870.7	XYLB	28	23	36	10	4	9	68	90	62	88	183	165
ENST00000450142.6	PPP1R12A	65	71	126	1	0	7	168	145	137	163	360	351
ENST00000255631.9	HSPBP1	100	77	127	4	20	54	198	260	199	261	499	508
ENST00000267068.5	N4BP2L2	15	14	1	0	10	0	51	38	37	35	104	96
ENST00000452881.5	SPATA3	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000243189.11	RSRP1	22	24	27	0	1	1	48	65	59	73	129	132
ENST00000340011.9	SPAM1	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000265334.8	CDKL3	4	0	0	0	1	0	4	10	3	6	13	12
ENST00000355697.6	SFXN4	52	41	91	28	0	5	125	138	111	128	309	251
ENST00000639969.1	AC233724.19	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000375915.3	FAM155A	1	5	0	0	0	0	7	7	5	6	17	19
ENST00000368167.7	CD1E	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000281834.3	TNFSF4	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000429344.6	CACTIN	35	36	71	3	12	0	68	82	68	82	177	156
ENST00000429967.2	APLN	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000320152.10	PRTFDC1	7	16	15	3	1	2	29	35	19	31	61	62
ENST00000357460.6	HOMEZ	27	17	1	3	0	0	45	58	42	64	120	102
ENST00000372141.6	NRG3	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000309733.5	C4orf32	11	8	9	1	5	6	23	25	24	31	48	62
ENST00000302937.8	TSEN34	50	44	67	6	9	9	143	153	119	168	293	278
ENST00000381213.7	MIER3	25	17	43	5	4	0	60	50	46	78	134	148
ENST00000409607.3	C7orf34	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000366997.8	LPGAT1	13	14	29	0	0	3	33	43	33	44	73	86
ENST00000414202.6	RIC1	18	8	19	0	3	4	30	42	44	50	80	76
ENST00000303921.2	GPR37	0	0	0	0	0	0	0	0	0	0	0	1
ENST00000360465.7	ZNF528	2	4	0	0	0	0	5	1	2	3	3	12
ENST00000393708.3	FDX2	23	18	21	6	0	0	29	32	34	43	64	79
ENST00000298282.13	PKNOX2	0	0	0	0	0	1	1	2	1	1	1	0
ENST00000272418.6	MRPS5	154	125	233	22	19	8	294	351	296	388	711	770
ENST00000304330.8	RPAP1	62	62	110	0	0	28	155	192	116	165	324	337
ENST00000379458.8	MUC3A	1	0	0	0	0	0	0	1	0	3	2	5
ENST00000368143.5	TMEM244	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000409900.7	CHN1	0	0	0	1	0	0	2	1	1	1	0	0
ENST00000374434.3	MYOM3	0	0	0	0	0	0	0	0	0	0	0	2
ENST00000380274.1	FAM50B	0	0	0	0	0	0	4	1	3	2	4	3
ENST00000340790.8	PALM3	2	4	0	0	0	0	0	2	1	3	4	5
ENST00000591899.7	UQCR11	99	98	208	15	16	23	230	274	245	321	593	545
ENST00000371139.8	SH2D1A	0	0	0	0	0	0	0	0	0	0	0	1
ENST00000378746.8	KIF3A	13	12	59	0	0	0	31	29	32	44	65	72
ENST00000367498.7	IVNS1ABP	63	55	34	1	4	6	111	131	83	122	311	276
ENST00000267970.8	TSPAN3	56	52	89	24	3	0	137	175	129	129	325	341
ENST00000568956.1	ZNF865	8	8	7	0	0	0	9	18	16	16	29	40
ENST00000296424.8	BDH2	4	6	20	0	0	4	10	13	23	18	37	34
ENST00000392979.7	ANO4	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000562955.2	SZT2	29	29	57	12	6	0	59	76	56	76	111	114
ENST00000215368.3	EFNA2	0	0	0	0	0	0	1	1	0	1	0	1
ENST00000389879.9	CCNK	63	50	79	12	7	1	143	164	122	153	326	306
ENST00000558017.5	GDPGP1	9	5	21	0	0	7	19	27	33	35	47	49
ENST00000338891.11	FAM184A	7	2	8	0	3	0	12	15	16	15	37	36
ENST00000550804.5	CALCOCO1	10	13	25	0	0	5	25	27	29	29	74	60
ENST00000541347.5	CX3CR1	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000325558.10	PGA3	0	0	0	0	0	0	0	0	0	0	1	0
ENST00000383763.5	TRIM71	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000233948.3	WNT6	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000361847.6	MOK	1	1	0	0	0	0	4	1	3	4	2	8
ENST00000222248.3	SLC5A5	0	0	1	0	0	0	0	0	2	1	5	1
ENST00000373095.5	FAM102A	0	1	0	0	0	0	3	3	3	2	3	8
ENST00000398130.6	KIAA1468	14	11	12	4	0	0	31	24	38	32	79	98
ENST00000409134.7	ALDH7A1	0	0	0	0	0	0	0	0	0	1	0	1
ENST00000393276.7	DENND2C	1	1	0	0	0	0	1	0	1	0	0	0
ENST00000263932.6	TNFRSF8	6	6	3	0	0	1	11	22	15	21	31	38
ENST00000334325.1	SPATA12	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000397062.7	NFE2L2	104	87	190	24	7	17	217	262	219	278	548	534
ENST00000370375.7	C1orf146	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000338005.6	CCDC183	1	0	6	0	0	0	3	0	1	0	1	1
ENST00000342022.8	CCDC30	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000361059.7	MATR3	205	227	405	51	16	32	496	571	442	597	1169	1142
ENST00000296499.5	NDST3	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000391418.3	KRTAP2-3	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000374171.4	POLE3	74	62	165	17	4	9	174	211	151	196	360	374
ENST00000637698.1	RP1	0	0	0	0	0	0	0	1	0	0	1	2
ENST00000615863.1	CCL4	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000371431.7	AKAP14	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000406070.6	PSG7	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000374403.3	KIF4A	91	76	114	4	10	4	226	207	214	220	444	412
ENST00000382826.2	KRTAP20-3	0	0	0	0	0	0	1	0	0	0	0	0
ENST00000373631.7	CRB2	1	3	0	0	0	0	1	3	4	5	5	4
ENST00000558480.6	RASGRF1	2	0	0	0	0	0	4	2	3	3	6	3
ENST00000366697.6	TRIM17	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000600128.5	FBN3	0	0	0	0	0	0	3	0	0	1	1	0
ENST00000280871.8	SLC2A13	10	5	11	7	0	1	16	12	12	14	25	38
ENST00000316436.3	LSMEM2	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000228928.11	OAS3	1	5	0	0	0	0	2	3	2	7	6	4
ENST00000263867.8	CAPG	9	14	2	0	4	0	39	42	37	41	78	86
ENST00000377991.9	TMEM8B	0	1	0	1	0	0	0	0	1	0	2	4
ENST00000215739.12	LZTR1	61	62	96	21	14	12	150	149	140	162	348	352
ENST00000239587.9	TTLL2	0	0	0	0	0	0	0	0	0	0	1	0
ENST00000283684.8	ATP8B1	0	0	0	0	0	0	1	0	0	0	2	0
ENST00000238682.7	TGFB3	0	0	1	0	0	0	0	0	1	0	1	2
ENST00000424957.7	MEPE	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000396356.7	SOX6	5	9	8	0	0	0	14	10	12	9	35	28
ENST00000395366.2	PPP1CB	148	142	262	23	2	39	366	380	289	428	854	852
ENST00000307503.3	AGXT	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000255882.10	PI4KA	258	269	501	21	48	78	609	669	521	671	1337	1304
ENST00000613397.4	BIRC2	24	24	45	0	10	4	50	52	22	48	100	95
ENST00000448903.6	AP2A2	50	48	71	0	4	13	97	115	75	122	219	252
ENST00000355451.7	NUDCD3	37	33	73	13	10	3	91	109	95	106	201	203
ENST00000368563.6	TUBGCP2	96	79	132	17	8	8	168	195	169	206	397	394
ENST00000379705.7	TRPC4	0	0	0	0	0	0	0	0	0	0	0	1
ENST00000332624.7	TRAK2	4	3	5	0	0	0	3	10	7	9	25	17
ENST00000355526.8	DPF1	4	11	6	0	0	0	4	8	12	9	18	18
ENST00000271526.8	PRCC	77	75	133	38	0	7	224	264	174	260	446	497
ENST00000568449.5	EME2	1	0	0	0	0	1	6	7	6	3	12	5
ENST00000450456.2	GJE1	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000216044.9	GTPBP1	54	47	76	5	8	7	134	151	106	167	295	329
ENST00000354190.9	PLEKHB1	0	0	0	0	0	0	0	1	1	0	0	0
ENST00000380009.8	ARSK	9	6	7	0	0	0	18	20	17	23	39	40
ENST00000303177.7	HGNC:24955	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000641256.1	OR1C1	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000361937.7	INO80	16	23	20	7	0	0	49	67	52	68	141	138
ENST00000373116.5	MRPS15	132	131	227	26	26	5	291	395	242	341	764	687
ENST00000578189.1	NBPF19	0	0	0	0	0	0	2	3	2	1	2	3
ENST00000406384.5	RMDN2	9	1	0	6	0	0	5	9	9	10	35	24
ENST00000370693.5	BAG2	78	71	91	7	7	9	159	188	143	174	378	375
ENST00000395074.6	LPXN	1	0	0	0	0	0	1	4	2	0	8	3
ENST00000337777.7	PLS1	24	27	53	0	0	0	62	74	46	65	132	107
ENST00000616640.1	RPP38	42	33	58	0	18	12	84	90	69	88	216	209
ENST00000483273.2	UQCRHL	297	242	458	43	9	28	552	634	554	690	1271	1238
ENST00000578681.5	DDX42	169	129	235	44	10	5	302	396	302	399	826	794
ENST00000247194.8	L3HYPDH	17	21	48	4	0	5	44	49	40	57	132	108
ENST00000347077.8	ZNF546	8	1	7	0	0	0	11	5	4	10	9	19
ENST00000440890.6	BMPR1B	0	0	0	0	0	0	0	1	0	1	0	0
ENST00000398604.2	PCDHGA8	0	0	0	0	0	0	2	0	0	0	0	1
ENST00000310045.7	DSEL	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000394249.7	PRC1	115	142	279	29	0	28	348	423	326	412	787	784
ENST00000375071.3	CDA	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000400198.7	ARGLU1	56	33	72	11	7	8	113	112	83	111	204	178
ENST00000388948.7	LRRK1	1	0	0	0	0	0	2	0	0	1	0	2
ENST00000392552.6	GPR155	1	0	0	0	0	0	1	0	0	4	3	3
ENST00000306072.9	ISG20	1	1	0	0	0	0	2	2	2	1	1	2
ENST00000428135.7	SNX13	22	11	29	0	19	0	22	41	25	19	61	68
ENST00000231136.3	PCDHB6	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000614701.4	PTPRQ	0	0	0	0	0	0	0	0	0	0	1	0
ENST00000327619.9	EYA2	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000366933.4	SPATA17	0	0	0	0	0	0	0	0	0	1	0	0
ENST00000380050.7	CDK14	0	0	0	0	0	0	0	1	0	0	0	1
ENST00000581977.6	IKBKE	3	1	9	0	0	0	3	7	2	7	7	8
ENST00000337979.8	STX3	11	15	28	0	0	0	39	29	32	49	74	74
ENST00000398587.6	PCDHGA11	0	0	0	0	0	0	1	0	1	0	3	0
ENST00000259608.7	SIT1	0	0	0	0	0	0	0	1	0	0	0	1
ENST00000329492.5	MAPK8IP2	0	0	0	0	0	0	0	1	1	0	1	4
ENST00000454971.2	GPR42	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000324727.8	SCN4B	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000324170.7	ZCCHC10	16	17	20	5	0	11	51	66	51	75	129	120
ENST00000279168.6	GPHA2	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000290974.6	ZFYVE28	6	8	31	0	0	0	24	20	17	24	41	48
ENST00000314425.9	ZMYM3	89	85	166	17	2	12	193	214	170	212	454	430
ENST00000418331.6	PTPRJ	4	1	10	0	0	0	6	9	4	10	13	13
ENST00000244050.2	SNAI1	10	15	10	0	4	1	37	43	40	41	100	80
ENST00000327668.11	ZNF84	9	14	11	0	1	0	23	20	24	18	49	40
